%units
	c_co2 = "umol:s-1:m-2"
	c_co2_std = "umol:s-1:m-2"

%info
	author  = ""
	contact = ""
	date    = "2014-08-01 15:00:00"
	project = ""
	comment = ""

%data
date	time	c_co2	c_co2_std
2006-12-12	12:00	7.64248	na
2006-12-13	12:00	7.66509	na
2006-12-14	12:00	7.3206	na
2006-12-15	12:00	5.49365	na
2006-12-16	12:00	4.34604	na
2006-12-17	12:00	5.3411	na
2006-12-18	12:00	6.10728	na
2006-12-19	12:00	6.09496	na
2006-12-20	12:00	7.45703	na
2006-12-21	12:00	8.29651	na
2006-12-22	12:00	5.87918	na
2006-12-23	12:00	6.12063	na
2006-12-24	12:00	5.95875	na
2006-12-25	12:00	4.13399	na
2006-12-26	12:00	3.61768	na
2006-12-27	12:00	4.23082	na
2006-12-28	12:00	4.20679	na
2006-12-29	12:00	4.68781	na
2006-12-30	12:00	3.96705	na
2006-12-31	12:00	3.32288	na
2007-01-01	12:00	3.7644	na
2007-01-02	12:00	2.83427	na
2007-01-03	12:00	3.01817	na
2007-01-04	12:00	2.5431	na
2007-01-05	12:00	2.37217	na
2007-01-06	12:00	2.89582	na
2007-01-07	12:00	2.82304	na
2007-01-08	12:00	2.23744	na
2007-01-09	12:00	2.28135	na
2007-01-10	12:00	2.06778	na
2007-01-11	12:00	1.8414	na
2007-01-12	12:00	1.83652	na
2007-01-13	12:00	1.65284	na
2007-01-14	12:00	2.20134	na
2007-01-15	12:00	4.0357	na
2007-01-16	12:00	4.86232	na
2007-01-17	12:00	4.8767	na
2007-01-18	12:00	3.93251	na
2007-01-19	12:00	4.00597	na
2007-01-20	12:00	4.98871	na
2007-01-21	12:00	5.33254	na
2007-01-22	12:00	33.6146	na
2007-01-23	12:00	6.35816	na
2007-01-24	12:00	36.2753	na
2007-01-25	12:00	38.1197	na
2007-01-26	12:00	10.5363	na
2007-01-27	12:00	9.48076	na
2007-01-28	12:00	10.5466	na
2007-01-29	12:00	41.611	na
2007-01-30	12:00	9.88461	na
2007-01-31	12:00	8.02595	na
2007-02-01	12:00	10.0826	na
2007-02-02	12:00	44.4519	na
2007-02-03	12:00	49.7614	na
2007-02-04	12:00	44.724	na
2007-02-05	12:00	50.1784	na
2007-02-06	12:00	15.1903	na
2007-02-07	12:00	11.0954	na
2007-02-08	12:00	8.12816	na
2007-02-09	12:00	7.42326	na
2007-02-10	12:00	5.59726	na
2007-02-11	12:00	5.51737	na
2007-02-12	12:00	7.75885	na
2007-02-13	12:00	8.50652	na
2007-02-14	12:00	10.0054	na
2007-02-15	12:00	10.8917	na
2007-02-16	12:00	10.9498	na
2007-02-17	12:00	12.6507	na
2007-02-18	12:00	13.6397	na
2007-02-19	12:00	11.2189	na
2007-02-20	12:00	10.1784	na
2007-02-21	12:00	10.2442	na
2007-02-22	12:00	9.3099	na
2007-02-23	12:00	7.30381	na
2007-02-24	12:00	10.4589	na
2007-02-25	12:00	10.5924	na
2007-02-26	12:00	13.0525	na
2007-02-27	12:00	15.1245	na
2007-02-28	12:00	14.798	na
2007-03-01	12:00	13.9034	na
2007-03-02	12:00	13.8032	na
2007-03-03	12:00	10.8823	na
2007-03-04	12:00	11.7741	na
2007-03-05	12:00	43.1204	na
2007-03-06	12:00	16.5398	na
2007-03-07	12:00	14.0439	na
2007-03-08	12:00	15.8874	na
2007-03-09	12:00	16.8449	na
2007-03-10	12:00	15.0927	na
2007-03-11	12:00	16.8993	na
2007-03-12	12:00	45.7922	na
2007-03-13	12:00	16.999	na
2007-03-14	12:00	16.8183	na
2007-03-15	12:00	17.9681	na
2007-03-16	12:00	50.0285	na
2007-03-17	12:00	20.2257	na
2007-03-18	12:00	17.781	na
2007-03-19	12:00	21.4275	na
2007-03-20	12:00	49.914	na
