%units
	n_n2o = "ug:h-1:m-2"
	n_n2o_std = "ug:h-1:m-2"

%info
	author  = ""
	contact = ""
	date    = "2014-08-01 15:00:00"
	project = ""
	comment = ""

%data
date	time	n_n2o	n_n2o_std
2005-05-13	12:00	0.01831500	na
2005-05-14	12:00	0.0190193	na
2005-05-15	12:00	0.0189671	na
2005-05-16	12:00	0.0167712	na
2005-05-17	12:00	0.0155766	na
2005-05-18	12:00	0.0154695	na
2005-05-19	12:00	0.0160599	na
2005-05-20	12:00	0.0163918	na
2005-05-21	12:00	0.0164664	na
2005-05-22	12:00	0.0231336	na
2005-05-23	12:00	0.0226244	na
2005-05-24	12:00	0.0224424	na
2005-05-25	12:00	0.0221167	na
2005-05-26	12:00	0.0216541	na
2005-05-27	12:00	0.0172394	na
2005-05-28	12:00	0.0171063	na
2005-05-29	12:00	0.0178536	na
2005-05-30	12:00	0.0168239	na
2005-05-31	12:00	0.0151145	na
2005-06-01	12:00	0.0141705	na
2005-06-02	12:00	0.0152892	na
2005-06-03	12:00	0.0152622	na
2005-06-04	12:00	0.0139673	na
2005-06-05	12:00	0.0141136	na
2005-06-06	12:00	0.0144159	na
2005-06-07	12:00	0.0147475	na
2005-06-08	12:00	0.015156	na
2005-06-09	12:00	0.0153079	na
2005-06-10	12:00	0.014788	na
2005-06-11	12:00	0.0109028	na
2005-06-12	12:00	0.00543544	na
2006-12-12	12:00	0.00494657	na
2006-12-13	12:00	0.00468725	na
2006-12-14	12:00	0.00495063	na
2006-12-15	12:00	0.00522607	na
2006-12-16	12:00	0.00532395	na
2006-12-17	12:00	0.00526504	na
2006-12-18	12:00	0.00502176	na
2006-12-19	12:00	0.00493078	na
2006-12-20	12:00	0.00483175	na
2006-12-21	12:00	0.00460257	na
2006-12-22	12:00	0.00427795	na
2006-12-23	12:00	0.00403391	na
2006-12-24	12:00	0.0038212	na
2006-12-25	12:00	0.0036319	na
2006-12-26	12:00	0.00348684	na
2006-12-27	12:00	0.00340644	na
2006-12-28	12:00	0.00338034	na
2006-12-29	12:00	0.00335709	na
2006-12-30	12:00	0.00320714	na
2006-12-31	12:00	0.00300858	na
2007-01-01	12:00	0.00314318	na
2007-01-02	12:00	0.00316285	na
2007-01-03	12:00	0.00323136	na
2007-01-04	12:00	0.00325947	na
2007-01-05	12:00	0.0031207	na
2007-01-06	12:00	0.00315203	na
2007-01-07	12:00	0.00273637	na
2007-01-08	12:00	0.00236138	na
2007-01-09	12:00	0.00221057	na
2007-01-10	12:00	0.00218615	na
