%units			
	net_eco_exchange = "g:d-1:m-2"		
	net_eco_exchange_std = "g:d-1:m-2"		
			
%info			
	author  = ""		
	contact = ""		
	date    = "2014-08-01 15:00:00"		
	project = ""		
	comment = ""		
			
%data			
date	time	nee	nee_std
2004-05-04	12:00	-8.26067	na
2004-05-05	12:00	-8.46193	na
2004-05-06	12:00	-5.26408	na
2004-05-07	12:00	-5.37087	na
2004-05-08	12:00	-9.16302	na
2004-05-09	12:00	-9.54919	na
2004-05-10	12:00	-9.38372	na
2004-05-11	12:00	-9.85381	na
2004-05-12	12:00	-9.8189	na
2004-05-13	12:00	-10.0166	na
2004-05-14	12:00	19.2096	na
2004-05-15	12:00	-10.7499	na
2004-05-16	12:00	-10.2444	na
2004-05-17	12:00	-9.30831	na
2004-05-18	12:00	-8.69224	na
2004-05-19	12:00	-8.71614	na
2004-05-20	12:00	-8.06165	na
2004-05-21	12:00	-7.43558	na
2004-05-22	12:00	-7.35751	na
2004-05-23	12:00	-8.032	na
2004-05-24	12:00	-7.99776	na
2004-05-25	12:00	-7.72118	na
2004-05-26	12:00	-7.54576	na
2004-05-27	12:00	-7.45308	na
2004-05-28	12:00	-7.03244	na
2004-05-29	12:00	-6.38254	na
2004-05-30	12:00	-6.02565	na
2004-05-31	12:00	-5.78495	na
2004-06-01	12:00	-5.48333	na
2004-06-02	12:00	-5.45154	na
2004-06-03	12:00	-6.39993	na
2004-06-04	12:00	13.6404	na
2004-06-05	12:00	17.9983	na
2004-06-06	12:00	32.5605	na
2004-06-07	12:00	33.0078	na
2004-06-08	12:00	37.2353	na
2004-06-09	12:00	41.3421	na
2004-06-10	12:00	-8.06168	na
2004-06-11	12:00	-7.41375	na
2004-06-12	12:00	-6.72031	na
2004-06-13	12:00	-6.19526	na
2004-06-14	12:00	-6.17533	na
2004-06-15	12:00	-6.05382	na
2004-06-16	12:00	-5.85397	na
2004-06-17	12:00	-5.82563	na
2004-06-18	12:00	-5.78595	na
2004-06-19	12:00	-5.78269	na
2004-06-20	12:00	-5.73103	na
2004-06-21	12:00	-5.69659	na
2004-06-22	12:00	-5.49041	na
2004-06-23	12:00	-5.29081	na
2004-06-24	12:00	-5.19773	na
2004-06-25	12:00	-5.11242	na
2004-06-26	12:00	-4.94594	na
2004-06-27	12:00	-4.79332	na
2004-06-28	12:00	-4.72193	na
2004-06-29	12:00	-4.4762	na
2004-06-30	12:00	-4.28647	na
2004-07-01	12:00	-4.24683	na
2004-07-02	12:00	-4.2183	na
2004-07-03	12:00	-4.16557	na
2004-07-04	12:00	-4.20151	na
2004-07-05	12:00	-4.44463	na
2004-07-06	12:00	-5.07507	na
2004-07-07	12:00	-5.08953	na
2004-07-08	12:00	-5.10872	na
2004-07-09	12:00	-5.1404	na
2004-07-10	12:00	-4.99777	na
2004-07-11	12:00	-4.82957	na
2004-07-12	12:00	-4.56266	na
2004-07-13	12:00	-4.39487	na
2004-07-14	12:00	-4.60604	na
2004-07-15	12:00	-4.97253	na
2004-07-16	12:00	-5.31287	na
2004-07-17	12:00	113.827	na
2004-07-18	12:00	154.348	na
2004-07-19	12:00	178.731	na
2004-07-20	12:00	157.568	na
2004-07-21	12:00	134.814	na
2004-07-22	12:00	160.833	na
2004-07-23	12:00	-6.45007	na
2004-07-24	12:00	-6.17657	na
2004-07-25	12:00	-6.1117	na
2004-07-26	12:00	139.016	na
2004-07-27	12:00	148.24	na
2004-07-28	12:00	160.814	na
2004-07-29	12:00	152.163	na
2004-07-30	12:00	-6.11869	na
2004-07-31	12:00	-6.12102	na
