source	id	x	y	z	area	datetime	prec[mm]	throughf[mm]	evapot[mm]	transp[mm]	evacep[mm]	evasoil[mm]	runoff[mm]	percol[mm]	infiltration[mm]	snow[mmh2oeq]	surfacewater[mm]	soil_water[mm]	root_soil_water[mm]	leafwater[mm]	soilwater_10cm[%]	soilwater_20cm[%]	soilwater_30cm[%]	soilwater_50cm[%]	soilwater_100cm[%]
setup	0	0	0	0	1	2002-06-01 00:00:00	0	0	0.0413152	0	0	0.00926569	0	0.00129711	0	0	0	295.904	0	0	31.1267	30.1917	30.1856	28.9848	28.7997
setup	0	0	0	0	1	2002-06-01 00:15:00	0	0	0.0413152	0	0	0.00926386	0	0.00126387	0	0	0	295.893	0	0	31.1229	30.1888	30.1801	28.9851	28.8004
setup	0	0	0	0	1	2002-06-01 00:30:00	0	0	0.0413152	0	0	0.00926205	0	0.00123156	0	0	0	295.883	0	0	31.1191	30.1866	30.1754	28.9855	28.8011
setup	0	0	0	0	1	2002-06-01 00:45:00	0	0	0.0413152	0	0	0.00926024	0	0.00120016	0	0	0	295.872	0	0	31.1153	30.1843	30.1714	28.986	28.8018
setup	0	0	0	0	1	2002-06-01 01:00:00	0	0	0.0413152	0	0	0.00925843	0	0.00116967	0	0	0	295.862	0	0	31.1116	30.182	30.1678	28.9865	28.8024
setup	0	0	0	0	1	2002-06-01 01:15:00	0	0	0.0413152	0	0	0.00925663	0	0.00114005	0	0	0	295.851	0	0	31.1078	30.1798	30.1645	28.987	28.8031
setup	0	0	0	0	1	2002-06-01 01:30:00	0	0	0.0413152	0	0	0.00925483	0	0.00111127	0	0	0	295.841	0	0	31.1041	30.1775	30.1613	28.9876	28.8037
setup	0	0	0	0	1	2002-06-01 01:45:00	0	0	0.0413152	0	0	0.00925304	0	0.00108331	0	0	0	295.831	0	0	31.1003	30.1753	30.1583	28.9882	28.8043
setup	0	0	0	0	1	2002-06-01 02:00:00	0	0	0.0413152	0	0	0.00925125	0	0.00105613	0	0	0	295.82	0	0	31.0966	30.173	30.1555	28.9888	28.8049
setup	0	0	0	0	1	2002-06-01 02:15:00	0	0	0.0413152	0	0	0.00924946	0	0.00102969	0	0	0	295.81	0	0	31.0929	30.1708	30.1528	28.9895	28.8054
setup	0	0	0	0	1	2002-06-01 02:30:00	0	0	0.0413152	0	0	0.00924769	0	0.00100399	0	0	0	295.8	0	0	31.0891	30.1685	30.1501	28.9901	28.806
setup	0	0	0	0	1	2002-06-01 02:45:00	0	0	0.0413152	0	0	0.00924591	0	0.000978976	0	0	0	295.79	0	0	31.0854	30.1662	30.1476	28.9908	28.8065
setup	0	0	0	0	1	2002-06-01 03:00:00	0	0	0.0413152	0	0	0.00924414	0	0.000954635	0	0	0	295.779	0	0	31.0816	30.164	30.1451	28.9915	28.8071
setup	0	0	0	0	1	2002-06-01 03:15:00	0	0	0.0413152	0	0	0.00924238	0	0.000930941	0	0	0	295.769	0	0	31.0779	30.1617	30.1427	28.9922	28.8076
setup	0	0	0	0	1	2002-06-01 03:30:00	0	0	0.0413152	0	0	0.00924062	0	0.000907872	0	0	0	295.759	0	0	31.0742	30.1595	30.1404	28.9929	28.8081
setup	0	0	0	0	1	2002-06-01 03:45:00	0	0	0.0413152	0	0	0.00923886	0	0.000885406	0	0	0	295.749	0	0	31.0704	30.1572	30.1381	28.9935	28.8086
setup	0	0	0	0	1	2002-06-01 04:00:00	0	0	0.0413152	0	0	0.00923711	0	0.000863524	0	0	0	295.739	0	0	31.0666	30.155	30.1358	28.9942	28.8091
setup	0	0	0	0	1	2002-06-01 04:15:00	0	0	0.0413152	0	0	0.00923536	0	0.000842206	0	0	0	295.729	0	0	31.0629	30.1527	30.1336	28.9949	28.8095
setup	0	0	0	0	1	2002-06-01 04:30:00	0	0	0.0413152	0	0	0.00923361	0	0.000821434	0	0	0	295.719	0	0	31.0592	30.1504	30.1314	28.9956	28.81
setup	0	0	0	0	1	2002-06-01 04:45:00	0	0	0.0413152	0	0	0.00923187	0	0.000801193	0	0	0	295.709	0	0	31.0555	30.1482	30.1293	28.9963	28.8104
setup	0	0	0	0	1	2002-06-01 05:00:00	0	0	0.0413152	0	0	0.00923013	0	0.000781466	0	0	0	295.699	0	0	31.0517	30.1459	30.1272	28.997	28.8109
setup	0	0	0	0	1	2002-06-01 05:15:00	0	0	0.0413152	0	0	0.00922839	0	0.000762238	0	0	0	295.689	0	0	31.048	30.1437	30.1251	28.9976	28.8113
setup	0	0	0	0	1	2002-06-01 05:30:00	0	0	0.0413152	0	0	0.00922666	0	0.000743495	0	0	0	295.679	0	0	31.0443	30.1414	30.123	28.9983	28.8117
setup	0	0	0	0	1	2002-06-01 05:45:00	0	0	0.0413152	0	0	0.00922492	0	0.000725223	0	0	0	295.669	0	0	31.0406	30.1392	30.121	28.999	28.8121
setup	0	0	0	0	1	2002-06-01 06:00:00	0	0	0.0413152	0	0	0.00922319	0	0.000707408	0	0	0	295.659	0	0	31.0369	30.1369	30.119	28.9996	28.8125
setup	0	0	0	0	1	2002-06-01 06:15:00	0	0	0.0413152	0	0	0.00922146	0	0.000690039	0	0	0	295.649	0	0	31.0332	30.1347	30.117	29.0002	28.8129
setup	0	0	0	0	1	2002-06-01 06:30:00	0	0	0.0413152	0	0	0.00921973	0	0.000673103	0	0	0	295.639	0	0	31.0295	30.1324	30.1151	29.0009	28.8132
setup	0	0	0	0	1	2002-06-01 06:45:00	0	0	0.0413152	0	0	0.009218	0	0.000656588	0	0	0	295.629	0	0	31.0258	30.1301	30.1131	29.0015	28.8136
setup	0	0	0	0	1	2002-06-01 07:00:00	0	0	0.0413152	0	0	0.00921628	0	0.000640483	0	0	0	295.619	0	0	31.0221	30.1279	30.1112	29.0021	28.814
setup	0	0	0	0	1	2002-06-01 07:15:00	0	0	0.0413152	0	0	0.00921455	0	0.000624778	0	0	0	295.609	0	0	31.0184	30.1256	30.1093	29.0027	28.8143
